event_id,domain,close_time,resolve_time,market_prob,baseline_prob,outcome
KXHIGHDEN-26SEP16-B83.5,weather,1789528017,1789659979,0.4250,0.0951,1
KXHIGHDEN-26SEP16-B85.5,weather,1789528017,1789659979,0.1950,0.0951,0
KXHIGHDEN-26SEP16-T79,weather,1789528017,1789659979,0.0150,0.3739,0
KXHIGHDEN-26SEP16-T86,weather,1789528017,1789659979,0.0750,0.2633,0
KXHIGHDEN-26SEP17-B75.5,weather,1789659975,1789714800,0.0050,0.0531,
KXHIGHDEN-26SEP17-B77.5,weather,1789659975,1789714800,0.0150,0.0575,
KXHIGHDEN-26SEP17-B79.5,weather,1789659975,1789714800,0.0750,0.0907,
KXHIGHDEN-26SEP17-B81.5,weather,1789659975,1789714800,0.2050,0.0973,
KXHIGHDEN-26SEP17-T75,weather,1789659975,1789714800,0.0050,0.2743,
KXHIGHDEN-26SEP17-T82,weather,1789659975,1789714800,0.6650,0.4358,
KXHIGHDEN-26SEP18-B78.5,weather,1789659975,1789801200,0.0750,0.0774,
KXHIGHDEN-26SEP18-B80.5,weather,1789659975,1789801200,0.1750,0.0885,
KXHIGHDEN-26SEP18-B82.5,weather,1789659975,1789801200,0.4200,0.1084,
KXHIGHDEN-26SEP18-B84.5,weather,1789659975,1789801200,0.2500,0.0841,
KXHIGHDEN-26SEP18-T78,weather,1789659975,1789801200,0.0250,0.3606,
KXHIGHDEN-26SEP18-T85,weather,1789659975,1789801200,0.0150,0.2898,
KXHIGHLAX-26SEP15-B75.5,weather,1789528017,1789659979,0.0050,0.1310,0
KXHIGHLAX-26SEP15-B77.5,weather,1789528017,1789659979,0.0050,0.1384,0
KXHIGHLAX-26SEP15-B79.5,weather,1789528017,1789659979,0.0050,0.0738,0
KXHIGHLAX-26SEP15-B81.5,weather,1789528017,1789659979,0.9950,0.0517,1
KXHIGHLAX-26SEP15-T75,weather,1789528017,1789659979,0.0050,0.5092,0
KXHIGHLAX-26SEP15-T82,weather,1789528017,1789659979,0.0050,0.1033,0
KXHIGHLAX-26SEP16-B73.5,weather,1789528017,1789659979,0.0250,0.2306,0
KXHIGHLAX-26SEP16-B75.5,weather,1789528017,1789659979,0.1950,0.1310,0
KXHIGHLAX-26SEP16-B77.5,weather,1789528017,1789659979,0.5750,0.1292,0
KXHIGHLAX-26SEP16-B79.5,weather,1789528017,1789659980,0.1850,0.0793,1
KXHIGHLAX-26SEP16-T73,weather,1789528017,1789659980,0.0050,0.2897,0
KXHIGHLAX-26SEP16-T80,weather,1789528017,1789659980,0.0650,0.1476,0
KXHIGHLAX-26SEP17-B75.5,weather,1789659975,1789718400,0.3350,0.1255,
KXHIGHLAX-26SEP17-B77.5,weather,1789659975,1789718400,0.5250,0.1347,
KXHIGHLAX-26SEP17-B79.5,weather,1789659975,1789718400,0.1200,0.0830,
KXHIGHLAX-26SEP17-B81.5,weather,1789659975,1789718400,0.0050,0.0535,
KXHIGHLAX-26SEP17-T75,weather,1789659975,1789718400,0.0250,0.5203,
KXHIGHLAX-26SEP17-T82,weather,1789659975,1789718400,0.0050,0.0904,
KXHIGHLAX-26SEP18-B72.5,weather,1789659975,1789804800,0.0150,0.1993,
KXHIGHLAX-26SEP18-B74.5,weather,1789659975,1789804800,0.3450,0.1790,
KXHIGHLAX-26SEP18-B76.5,weather,1789659975,1789804800,0.4050,0.1328,
KXHIGHLAX-26SEP18-B78.5,weather,1789659975,1789804800,0.2000,0.0904,
KXHIGHLAX-26SEP18-T72,weather,1789659975,1789804800,0.0050,0.2177,
KXHIGHLAX-26SEP18-T79,weather,1789659975,1789804800,0.0150,0.1882,
KXHIGHMIA-26SEP15-B86.5,weather,1789528017,1789659980,0.0050,0.0867,0
KXHIGHMIA-26SEP15-B88.5,weather,1789528017,1789659980,0.0050,0.3063,0
KXHIGHMIA-26SEP15-B90.5,weather,1789528017,1789659980,0.0050,0.3635,0
KXHIGHMIA-26SEP15-B92.5,weather,1789528017,1789659980,0.9950,0.1550,1
KXHIGHMIA-26SEP15-T86,weather,1789528017,1789659980,0.0050,0.0554,0
KXHIGHMIA-26SEP15-T93,weather,1789528017,1789659980,0.0050,0.0406,0
KXHIGHMIA-26SEP16-B86.5,weather,1789528017,1789659980,0.0550,0.0923,0
KXHIGHMIA-26SEP16-B88.5,weather,1789528017,1789659980,0.2000,0.3137,0
KXHIGHMIA-26SEP16-B90.5,weather,1789528017,1789659980,0.4850,0.3579,0
KXHIGHMIA-26SEP16-B92.5,weather,1789528017,1789659980,0.2650,0.1458,1
KXHIGHMIA-26SEP16-T86,weather,1789528017,1789659980,0.0050,0.0572,0
KXHIGHMIA-26SEP16-T93,weather,1789528017,1789659981,0.0150,0.0406,0
KXHIGHMIA-26SEP17-B84.5,weather,1789659975,1789707600,0.3650,0.0332,
KXHIGHMIA-26SEP17-B86.5,weather,1789659975,1789707600,0.1500,0.0941,
KXHIGHMIA-26SEP17-B88.5,weather,1789659975,1789707600,0.0750,0.3192,
KXHIGHMIA-26SEP17-B90.5,weather,1789659975,1789707600,0.0350,0.3561,
KXHIGHMIA-26SEP17-T84,weather,1789659975,1789707600,0.3750,0.0277,
KXHIGHMIA-26SEP17-T91,weather,1789659975,1789707600,0.0050,0.1771,
KXHIGHMIA-26SEP18-B85.5,weather,1789659975,1789794000,0.0450,0.0664,
KXHIGHMIA-26SEP18-B87.5,weather,1789659975,1789794000,0.1250,0.1882,
KXHIGHMIA-26SEP18-B89.5,weather,1789659975,1789794000,0.5350,0.3616,
KXHIGHMIA-26SEP18-B91.5,weather,1789659975,1789794000,0.2400,0.2804,
KXHIGHMIA-26SEP18-T85,weather,1789659975,1789794000,0.0200,0.0369,
KXHIGHMIA-26SEP18-T92,weather,1789659975,1789794000,0.0350,0.0738,
KXHIGHNY-26SEP15-B70.5,weather,1789528017,1789659981,0.0050,0.0849,0
KXHIGHNY-26SEP15-B72.5,weather,1789528017,1789659981,0.9950,0.0959,1
KXHIGHNY-26SEP15-B74.5,weather,1789528017,1789659981,0.0050,0.1255,0
KXHIGHNY-26SEP15-B76.5,weather,1789528017,1789659981,0.0050,0.1144,0
KXHIGHNY-26SEP15-T70,weather,1789528017,1789659981,0.0050,0.1218,0
KXHIGHNY-26SEP15-T77,weather,1789528017,1789659981,0.0050,0.4649,0
KXHIGHNY-26SEP16-B75.5,weather,1789528017,1789659981,0.0950,0.1236,0
KXHIGHNY-26SEP16-B77.5,weather,1789528017,1789659981,0.4850,0.1125,1
KXHIGHNY-26SEP16-B79.5,weather,1789528017,1789659981,0.4150,0.1199,0
KXHIGHNY-26SEP16-B81.5,weather,1789528017,1789659981,0.0550,0.1144,0
KXHIGHNY-26SEP16-T75,weather,1789528017,1789659981,0.0050,0.3708,0
KXHIGHNY-26SEP16-T82,weather,1789528017,1789659981,0.0150,0.1661,0
KXHIGHNY-26SEP17-B80.5,weather,1789659975,1789707600,0.3250,0.1144,
KXHIGHNY-26SEP17-B82.5,weather,1789659975,1789707600,0.5250,0.0867,
KXHIGHNY-26SEP17-B84.5,weather,1789659975,1789707600,0.0950,0.0461,
KXHIGHNY-26SEP17-B86.5,weather,1789659975,1789707600,0.0050,0.0369,
KXHIGHNY-26SEP17-T80,weather,1789659975,1789707600,0.0350,0.6882,
KXHIGHNY-26SEP17-T87,weather,1789659975,1789707600,0.0050,0.0351,
KXHIGHNY-26SEP18-B80.5,weather,1789659975,1789794000,0.4750,0.1052,
KXHIGHNY-26SEP18-B82.5,weather,1789659975,1789794000,0.1350,0.0849,
KXHIGHNY-26SEP18-B84.5,weather,1789659975,1789794000,0.0250,0.0424,
KXHIGHNY-26SEP18-B86.5,weather,1789659975,1789794000,0.0050,0.0295,
KXHIGHNY-26SEP18-T80,weather,1789659975,1789794000,0.3750,0.7103,
KXHIGHNY-26SEP18-T87,weather,1789659975,1789794000,0.0050,0.0351,
KXHIGHPHIL-26SEP15-B75.5,weather,1789528017,1789659981,0.0050,0.1070,0
KXHIGHPHIL-26SEP15-B77.5,weather,1789528017,1789659982,0.0050,0.1107,0
KXHIGHPHIL-26SEP15-B79.5,weather,1789528017,1789659982,0.9950,0.1199,1
KXHIGHPHIL-26SEP15-B81.5,weather,1789528017,1789659982,0.0050,0.1015,0
KXHIGHPHIL-26SEP15-T75,weather,1789528017,1789659982,0.0050,0.2251,0
KXHIGHPHIL-26SEP15-T82,weather,1789528017,1789659982,0.0050,0.3432,0
KXHIGHPHIL-26SEP16-B79.5,weather,1789528017,1789659982,0.0150,0.1218,0
KXHIGHPHIL-26SEP16-B81.5,weather,1789528017,1789659982,0.1350,0.0978,0
KXHIGHPHIL-26SEP16-B83.5,weather,1789528017,1789659982,0.6600,0.1162,1
KXHIGHPHIL-26SEP16-B85.5,weather,1789528017,1789659982,0.1650,0.0959,0
KXHIGHPHIL-26SEP16-T79,weather,1789528017,1789659982,0.0150,0.4557,0
KXHIGHPHIL-26SEP16-T86,weather,1789528017,1789659982,0.0150,0.1199,0
KXHIGHPHIL-26SEP17-B83.5,weather,1789659975,1789707600,0.3050,0.1052,
KXHIGHPHIL-26SEP17-B85.5,weather,1789659975,1789707600,0.4350,0.0904,
KXHIGHPHIL-26SEP17-B87.5,weather,1789659975,1789707600,0.1250,0.0535,
KXHIGHPHIL-26SEP17-B89.5,weather,1789659975,1789707600,0.0300,0.0314,
KXHIGHPHIL-26SEP17-T83,weather,1789659975,1789707600,0.0850,0.6993,
KXHIGHPHIL-26SEP17-T90,weather,1789659975,1789707600,0.0050,0.0277,
KXHIGHPHIL-26SEP18-B81.5,weather,1789659975,1789794000,0.0350,0.0978,
KXHIGHPHIL-26SEP18-B83.5,weather,1789659975,1789794000,0.2350,0.0978,
KXHIGHPHIL-26SEP18-B85.5,weather,1789659975,1789794000,0.5950,0.0812,
KXHIGHPHIL-26SEP18-B87.5,weather,1789659975,1789794000,0.1150,0.0498,
KXHIGHPHIL-26SEP18-T81,weather,1789659975,1789794000,0.0150,0.6255,
KXHIGHPHIL-26SEP18-T88,weather,1789659975,1789794000,0.0150,0.0554,
